Date,terapia_intensiva,nuovi_attualmente_positivi,tamponi,totale_casi,ricoverati_con_sintomi,totale_attualmente_positivi,dimessi_guariti,totale_ospedalizzati,deceduti,isolamento_domiciliare24/02/2020,0,0,1,0,0,0,0,0,0,0
25/02/2020,0,0,1,0,0,0,0,0,0,0
26/02/2020,0,0,1,0,0,0,0,0,0,0
27/02/2020,0,0,1,0,0,0,0,0,0,0
28/02/2020,0,0,1,0,0,0,0,0,0,0
29/02/2020,0,0,1,0,0,0,0,0,0,0
01/03/2020,0,0,29,0,0,0,0,0,0,0
02/03/2020,0,0,29,0,0,0,0,0,0,0
03/03/2020,0,1,29,1,1,1,0,1,0,0
04/03/2020,0,1,42,2,1,2,0,1,0,1
05/03/2020,0,0,50,2,2,2,0,2,0,0
06/03/2020,0,3,99,5,2,5,0,2,0,3
07/03/2020,0,0,99,5,2,5,0,2,0,3
08/03/2020,0,6,149,11,5,11,0,5,0,6
09/03/2020,0,8,185,19,8,19,0,8,0,11
10/03/2020,0,1,204,20,9,20,0,9,0,11
11/03/2020,0,17,283,37,10,37,0,10,0,27
12/03/2020,0,2,302,39,12,39,0,12,0,27
13/03/2020,0,4,504,43,12,43,0,12,0,31
14/03/2020,0,4,530,47,14,47,0,14,0,33
15/03/2020,0,28,613,77,16,75,0,16,2,59
16/03/2020,0,30,797,107,39,105,0,39,2,66
17/03/2020,4,10,1003,117,36,115,0,40,2,75
18/03/2020,7,17,1135,134,42,132,0,49,2,83
19/03/2020,9,72,1334,206,43,204,0,52,2,152
20/03/2020,15,84,1912,293,56,288,3,71,2,217
21/03/2020,16,33,2297,330,65,321,5,81,4,240
22/03/2020,16,6,2402,339,67,327,5,83,7,244
23/03/2020,18,16,2568,359,76,343,5,94,11,249
24/03/2020,19,52,2859,421,80,395,11,99,15,296
25/03/2020,19,17,3019,442,82,412,12,101,18,311
